DestIP,Source,ioc
196.251.85.116,Twitter-[drb_ra],[#C2 #AsyncRAT]
159.65.129.136,Twitter-[drb_ra],[#C2 #Interactsh]
52.18.205.240,Twitter-[drb_ra],[#C2 #Interactsh]
149.202.248.199,Twitter-[drb_ra],[#C2 #Interactsh]
12.53.37.87,Twitter-[drb_ra],[#C2 #Interactsh]
154.12.83.175,Twitter-[drb_ra],[#C2 #Supershell]
189.140.25.174,Twitter-[drb_ra],[#C2 #Qakbot]
85.239.63.3,Twitter-[drb_ra],[#Havoc #C2]
34.232.181.197,Twitter-[drb_ra],[#C2 #Deimos]
92.112.127.132,Twitter-[drb_ra],[#C2 #Deimos]
16.78.217.162,Twitter-[drb_ra],[#C2 #Deimos]
102.117.165.178,Twitter-[drb_ra],[#C2 #Mythic]
178.15.47.110,Twitter-[drb_ra],[#C2]
79.110.50.8,Twitter-[drb_ra],[#C2 #Remcos]
179.13.0.116,Twitter-[drb_ra],[#C2 #Remcos]
155.254.24.175,Twitter-[drb_ra],[#C2 #Remcos]
51.112.53.216,Twitter-[drb_ra],[#C2 #NetSupportRAT]
143.92.39.50,Twitter-[drb_ra],[#C2 #CobaltStrike]
31.210.50.205,Twitter-[threatquery],[#malware #C2]
95.138.160.116,Twitter-[threatquery],[#malware #C2]
124.221.9.167,Twitter-[drb_ra],[#C2 #CobaltStrike]
183.230.68.139,Twitter-[drb_ra],[#C2 #CobaltStrike]
50.232.172.114,Twitter-[drb_ra],[#C2 #Qakbot]
64.4.225.218,Twitter-[drb_ra],[#C2 #Qakbot]
118.161.7.158,Twitter-[drb_ra],[#C2 #Qakbot]
70.31.125.197,Twitter-[drb_ra],[#C2 #Qakbot]
13.37.250.113,Twitter-[drb_ra],[#C2 #Havoc]
45.31.209.24,Twitter-[drb_ra],[#C2 #Havoc]
80.149.60.139,Twitter-[drb_ra],[#C2 #Havoc]
99.83.209.212,Twitter-[drb_ra],[#C2 #Deimos]
172.233.97.159,Twitter-[drb_ra],[#Mythic #C2]
159.65.155.15,Twitter-[drb_ra],[#Mythic #C2]
185.177.239.38,Twitter-[drb_ra],[#C2 #Sliver]
172.104.110.213,Twitter-[drb_ra],[#C2 #Sliver]
49.13.51.178,Twitter-[drb_ra],[#C2 #Sliver]
91.236.116.22,Twitter-[drb_ra],[#C2]
196.251.118.181,Twitter-[drb_ra],[#C2 #Remcos]
196.251.114.40,Twitter-[drb_ra],[#C2 #Remcos]
103.146.159.70,Twitter-[drb_ra],[#C2 #Reverse_SSH]
38.55.199.160,Twitter-[drb_ra],[#C2]
63.176.95.110,Twitter-[drb_ra],[#C2 #NetSupportRAT]
